,Allowed Values
0,PL 267
1,PL 1106
2,PL 444
3,PL 419
4,PL 406
5,PL 417
6,PL 265
7,PCA 80
8,PCA 3
9,PL 225
10,PL 266
11,PL 215
12,PL 412
13,PL 1084
14,PL 101
15,PL 1018
16,WMA 2013
17,PL 414
18,PL 404
19,PL 415
20,PCA 107
21,PL 272
22,PL 195
23,PL 403
24,PL 413
25,PL 405
26,PL 471
27,PL 268
28,PL 297
29,PL 407
30,PL 418
31,PCA 303
32,PL 469
33,PL 416
34,PL 226
35,PCA 2
36,PL 204
37,PL 200
38,PL 216
39,PL 1011
40,PL 470
41,PL 408
